Common Name,Scientific Name,Family,Group,Description,Habitat,Conservation,iNat Observations,Taxon ID,Image 1,Image 2
False Rosemary,Conradina canescens,LAMIACEAE,Wildflowers & Herbs,"A peculiar disjunct population in Hernando Co. was identified as Conradina canescens, which is typically considered restricted to the Florida panhandle and neighboring regions in surrounding states. Conradina canescens is characterized by leaves 7-20 mm long and mature nutles 0.7-1 x 0.5-0.7 mm. It is very similar to C. brevifolia.",,NatureServe: G5,138,127059,images/Plants/Wildflowers & Herbs/False Rosemary_1.jpg,images/Plants/Wildflowers & Herbs/False Rosemary_2.jpg
Gulf Coast Lupine,Lupinus westianus,FABACEAE,Wildflowers & Herbs,"Lupinus westianus, commonly known as the Gulf Coast lupine, is a species of flowering plant in the family Fabaceae. It is endemic to the Florida Panhandle in the southeastern United States.",,US: S3 · IUCN Red List: NT,132,138903,images/Plants/Wildflowers & Herbs/Gulf Coast Lupine_1.jpg,images/Plants/Wildflowers & Herbs/Gulf Coast Lupine_2.jpg
fetterbush lyonia,Lyonia lucida,ERICACEAE,Wildflowers & Herbs,"Lyonia lucida is a species of flowering plant in the family Ericaceae known by the common names fetterbush lyonia, hurrahbush, and staggerbush. Other plants may also be called fetterbush. This broadleaved evergreen plant grows on the coastal plain of the southeastern United States from Virginia to Florida to Louisiana. It also occurs in Cuba.
This shrub can grow to 4 to 5 meters in height and just as wide.",,,93,129433,images/Plants/Wildflowers & Herbs/fetterbush lyonia_1.jpg,images/Plants/Wildflowers & Herbs/fetterbush lyonia_2.jpg
yellow pitcher plant,Sarracenia flava,SARRACENIACEAE,Wildflowers & Herbs,"Sarracenia flava, the yellow pitcherplant, is a carnivorous plant in the family Sarraceniaceae. Like all the Sarraceniaceae, it is native to the New World. Its range extends from southern Alabama, through Florida and Georgia, to the coastal plains of southern Virginia, North Carolina and South Carolina. Populations also exist in the Piedmont, Mendocino County, California and mountains of North Carolina.
Like other members of the genus Sarracenia, the yellow pitcher plant traps insects using a rolled leaf, which in this species is a vibrant yellow in color, and up to over a meter (3 ft) in height (although 50 cm, 20"" is more typical).",,,80,81900,images/Plants/Wildflowers & Herbs/yellow pitcher plant_1.jpg,images/Plants/Wildflowers & Herbs/yellow pitcher plant_2.jpg
Sandhill milkweed,Asclepias humistrata,APOCYNACEAE,Wildflowers & Herbs,"Asclepias humistrata, or the sandhill milkweed, is a species of milkweed plant. It is also known as pinewoods milkweed and pink-veined milkplant. It belongs in the subfamily Asclepiadoideae. It is native to the southeastern United States. It is found in well-drained areas such as sandy woodlands, sandy hills, and Florida scrub.",,FL: S4S5 · NatureServe: G4G5 · US: N4?,65,128756,images/Plants/Wildflowers & Herbs/Sandhill milkweed_1.jpg,images/Plants/Wildflowers & Herbs/Sandhill milkweed_2.jpg
spurge nettle,Cnidoscolus stimulosus,EUPHORBIACEAE,Wildflowers & Herbs,"In the closely related species, C. texanus, serotonin was characterized in the stinging hairs (Lookadoo &amp; Pollard 1991) but was reportedly absent in C. stimulosus (Willis 1969).",,,58,160765,images/Plants/Wildflowers & Herbs/spurge nettle_1.jpg,images/Plants/Wildflowers & Herbs/spurge nettle_2.jpg
Pink Sundew,Drosera capillaris,DROSERACEAE,Wildflowers & Herbs,"Drosera capillaris, also known as the pink sundew, is a species of carnivorous plant belonging to the family Droseraceae. It is native to the southern United States, the Greater Antilles, western and southern Mexico, Central America, and northern South America. It is critically endangered in some places and thrives in unique conditions like fires, as it allows new growth to flourish. The prey they capture gives them the majority of their nutrients and allows them to live in nutrient lacking environments. It's danger to being extinct is influenced by pollution.",,FL: S5 · NatureServe: G5,55,162094,images/Plants/Wildflowers & Herbs/Pink Sundew_1.jpg,images/Plants/Wildflowers & Herbs/Pink Sundew_2.jpg
Buckwheat tree,Cliftonia monophylla,CYRILLACEAE,Wildflowers & Herbs,"Cliftonia monophylla, the buck-wheat tree, buckwheat tree or black titi, is a tree native to the southeastern United States. It is the sole species in the genus Cliftonia.",,,43,160750,images/Plants/Wildflowers & Herbs/Buckwheat tree_1.jpg,images/Plants/Wildflowers & Herbs/Buckwheat tree_2.jpg
Tracy's sundew,Drosera tracyi,DROSERACEAE,Wildflowers & Herbs,"Drosera filiformis, commonly known as Tracy's sundew, dewthread or the thread-leaved sundew, is a small, insectivorous, rosette-forming species of perennial herb. A species of sundew, it is unusual within its genus in that the long, erect, filiform (thread-like) leaves of this plant unroll in spirals – an arrangement similar to the circinate vernation seen in ferns.",,FL: S4 · NatureServe: G3G4 · US: N3N4,37,162096,images/Plants/Wildflowers & Herbs/Tracy's sundew_1.jpg,images/Plants/Wildflowers & Herbs/Tracy's sundew_2.jpg
White beggarticks,Bidens alba,Asteraceae,Wildflowers & Herbs,"White beggar-ticks is an annual originating in tropical America. It has become invasive throughout much of the world. The seeds have long, barbed awns that aid in dispersal by clinging to clothing and fur. It is uncommon in New England, having been collected only in Connecticut and Massachusetts.",Anthropogenic (human-disturbed or -maintained habitats),,37,1095846,images/Plants/Wildflowers & Herbs/White beggarticks_1.jpg,images/Plants/Wildflowers & Herbs/White beggarticks_2.jpg
